"rank","order","family","available_names","species_count","living_species","wild_species","extinct_species","domestic_species","genera","living_genera","extinct_genera","families","living_families","extinct_families","new_since_MSW3","new_descriptions_since_MSW3","split_since_MSW3","IUCN_LC_species","IUCN_NT_species","IUCN_VU_species","IUCN_EN_species","IUCN_CR_species","IUCN_EW_species","IUCN_EX_species","IUCN_DD_species","IUCN_NE_species","IUCN_threatened_total","IUCN_understudied_total"
"family","Peramelemorphia","Peramelidae",59,27,22,22,5,0,6,6,0,NA,NA,NA,9,2,7,9,0,5,3,0,0,1,1,8,8,9
"family","Peramelemorphia","Thylacomyidae",9,2,1,1,1,0,1,1,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"family","Perissodactyla","Equidae",284,9,9,7,0,2,1,1,0,NA,NA,NA,1,0,1,1,2,1,2,1,0,0,0,2,4,2
"family","Perissodactyla","Rhinocerotidae",77,5,5,5,0,0,4,4,0,NA,NA,NA,0,0,0,0,1,1,0,3,0,0,0,0,4,0
"family","Perissodactyla","Tapiridae",39,4,4,4,0,0,1,1,0,NA,NA,NA,0,0,0,0,0,1,3,0,0,0,0,0,4,0
"family","Pholidota","Manidae",40,8,8,8,0,0,3,3,0,NA,NA,NA,0,0,0,0,0,2,3,3,0,0,0,0,8,0
"family","Pilosa","Bradypodidae",44,5,5,5,0,0,1,1,0,NA,NA,NA,1,0,1,2,0,1,0,1,0,0,0,1,2,1
"family","Pilosa","Choloepodidae",16,2,2,2,0,0,1,1,0,NA,NA,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"family","Pilosa","Cyclopedidae",14,7,7,7,0,0,1,1,0,NA,NA,NA,6,3,3,1,0,0,0,0,0,0,0,6,0,6
"family","Pilosa","Myrmecophagidae",27,3,3,3,0,0,2,2,0,NA,NA,NA,0,0,0,2,0,1,0,0,0,0,0,0,1,0
"family","Primates","Aotidae",30,11,11,11,0,0,1,1,0,NA,NA,NA,4,1,3,4,1,4,1,0,0,0,1,0,5,1
"family","Primates","Archaeolemuridae",5,1,0,0,1,0,1,0,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"family","Primates","Atelidae",117,23,23,23,0,0,4,4,0,NA,NA,NA,3,0,3,4,2,6,7,4,0,0,0,0,17,0
"family","Primates","Callitrichidae",124,54,54,54,0,0,6,6,0,NA,NA,NA,13,4,9,26,7,10,6,3,0,0,0,2,19,2
"family","Primates","Cebidae",114,19,19,19,0,0,3,3,0,NA,NA,NA,6,0,6,7,3,2,4,2,0,0,0,1,8,1
"family","Primates","Cercopithecidae",791,165,165,165,0,0,23,23,0,NA,NA,NA,37,8,29,25,17,40,48,26,0,0,2,7,114,9
"family","Primates","Cheirogaleidae",62,41,41,41,0,0,5,5,0,NA,NA,NA,21,21,0,2,1,10,20,5,0,0,2,1,35,3
"family","Primates","Daubentoniidae",4,1,1,1,0,0,1,1,0,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"family","Primates","Galagidae",68,19,19,19,0,0,6,6,0,NA,NA,NA,3,2,1,12,4,1,1,0,0,0,1,0,2,1
"family","Primates","Hominidae",180,8,8,8,0,0,4,4,0,NA,NA,NA,1,1,0,0,0,0,2,5,0,0,0,1,7,1
"family","Primates","Hylobatidae",54,20,20,20,0,0,4,4,0,NA,NA,NA,6,2,4,0,0,1,14,5,0,0,0,0,20,0
"family","Primates","Indriidae",39,19,19,19,0,0,3,3,0,NA,NA,NA,8,6,2,0,0,4,4,11,0,0,0,0,19,0
"family","Primates","Lemuridae",63,21,21,21,0,0,5,5,0,NA,NA,NA,3,0,3,0,0,8,5,8,0,0,0,0,21,0
"family","Primates","Lepilemuridae",34,25,25,25,0,0,1,1,0,NA,NA,NA,17,17,0,0,0,2,15,8,0,0,0,0,25,0
"family","Primates","Lorisidae",54,17,17,17,0,0,5,5,0,NA,NA,NA,9,1,8,3,3,3,5,2,0,0,0,1,10,1
"family","Primates","Megaladapidae",3,1,0,0,1,0,1,0,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"family","Primates","Palaeopropithecidae",3,1,0,0,1,0,1,0,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"family","Primates","Pitheciidae",109,62,61,61,1,0,7,6,1,NA,NA,NA,23,13,10,31,2,11,3,6,0,1,6,2,20,8
"family","Primates","Tarsiidae",31,14,14,14,0,0,3,3,0,NA,NA,NA,7,6,1,0,1,7,4,1,0,0,1,0,12,1
"family","Proboscidea","Elephantidae",49,3,3,3,0,0,2,2,0,NA,NA,NA,0,0,0,0,0,0,2,1,0,0,0,0,3,0
"family","Rodentia","Abrocomidae",13,10,10,10,0,0,2,2,0,NA,NA,NA,0,0,0,3,0,0,0,1,0,0,6,0,1,6
"family","Rodentia","Anomaluridae",37,6,6,6,0,0,2,2,0,NA,NA,NA,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"family","Rodentia","Aplodontiidae",14,1,1,1,0,0,1,1,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"family","Rodentia","Bathyergidae",86,26,26,26,0,0,5,5,0,NA,NA,NA,11,4,7,14,0,1,1,0,0,0,5,5,2,10
"family","Rodentia","Calomyscidae",16,12,12,12,0,0,1,1,0,NA,NA,NA,4,4,0,6,0,0,0,0,0,0,2,4,0,6
"family","Rodentia","Castoridae",51,2,2,2,0,0,1,1,0,NA,NA,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"family","Rodentia","Caviidae",92,24,24,23,0,1,6,6,0,NA,NA,NA,6,2,4,13,1,0,0,1,0,0,5,4,1,9
"family","Rodentia","Chinchillidae",47,7,6,6,1,0,3,3,0,NA,NA,NA,1,1,0,2,0,0,2,0,0,1,2,0,2,2
"family","Rodentia","Cricetidae",3002,876,859,859,17,0,156,150,6,NA,NA,NA,243,130,113,462,32,33,30,20,0,12,76,211,83,287
"family","Rodentia","Ctenodactylidae",12,5,5,5,0,0,4,4,0,NA,NA,NA,0,0,0,4,0,0,0,0,0,0,1,0,0,1
"family","Rodentia","Ctenomyidae",100,68,68,68,0,0,1,1,0,NA,NA,NA,19,15,4,16,3,1,8,3,0,0,19,18,12,37
"family","Rodentia","Cuniculidae",20,2,2,2,0,0,1,1,0,NA,NA,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"family","Rodentia","Dasyproctidae",71,15,15,15,0,0,2,2,0,NA,NA,NA,3,1,2,6,2,0,1,1,0,0,5,0,2,5
"family","Rodentia","Diatomyidae",1,1,1,1,0,0,1,1,0,NA,NA,NA,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"family","Rodentia","Dinomyidae",4,1,1,1,0,0,1,1,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"family","Rodentia","Dipodidae",176,41,41,41,0,0,14,14,0,NA,NA,NA,9,1,8,26,0,0,0,0,0,0,5,10,0,15
"family","Rodentia","Echimyidae",250,117,101,101,16,0,35,28,7,NA,NA,NA,12,6,6,50,3,2,8,6,0,10,27,11,16,38
"family","Rodentia","Erethizontidae",61,18,18,18,0,0,3,3,0,NA,NA,NA,3,2,1,9,0,1,1,0,0,0,6,1,2,7
"family","Rodentia","Geomyidae",493,42,42,42,0,0,7,7,0,NA,NA,NA,10,1,9,31,1,0,2,1,0,0,0,7,3,7
"family","Rodentia","Gliridae",175,30,30,30,0,0,9,9,0,NA,NA,NA,2,1,1,15,1,2,0,0,0,0,11,1,2,12
"family","Rodentia","Heterocephalidae",7,1,1,1,0,0,1,1,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"family","Rodentia","Heteromyidae",436,70,70,70,0,0,5,5,0,NA,NA,NA,10,3,7,49,3,5,4,1,0,0,1,7,10,8
"family","Rodentia","Hystricidae",77,11,11,11,0,0,3,3,0,NA,NA,NA,0,0,0,10,0,1,0,0,0,0,0,0,1,0
"family","Rodentia","Muridae",2902,869,850,850,19,0,162,161,1,NA,NA,NA,162,108,54,459,29,53,54,13,0,14,154,93,120,247
"family","Rodentia","Nesomyidae",197,71,71,71,0,0,22,22,0,NA,NA,NA,10,7,3,43,0,4,5,2,0,0,9,8,11,17
"family","Rodentia","Octodontidae",28,16,15,15,1,0,7,7,0,NA,NA,NA,3,3,0,5,2,1,0,3,0,0,3,2,4,5
"family","Rodentia","Pedetidae",15,2,2,2,0,0,1,1,0,NA,NA,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"family","Rodentia","Petromuridae",15,1,1,1,0,0,1,1,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"family","Rodentia","Platacanthomyidae",9,7,7,7,0,0,2,2,0,NA,NA,NA,5,3,2,1,0,1,0,0,0,0,0,5,1,5
"family","Rodentia","Sciuridae",1986,321,321,321,0,0,64,64,0,NA,NA,NA,49,12,37,195,22,14,14,2,0,0,31,43,30,74
"family","Rodentia","Sminthidae",32,19,19,19,0,0,1,1,0,NA,NA,NA,6,3,3,8,1,1,2,1,0,0,2,4,4,6
"family","Rodentia","Spalacidae",138,41,41,41,0,0,7,7,0,NA,NA,NA,20,1,19,15,1,2,3,1,0,0,1,18,6,19
"family","Rodentia","Thryonomyidae",15,2,2,2,0,0,1,1,0,NA,NA,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"family","Rodentia","Zapodidae",52,11,11,11,0,0,3,3,0,NA,NA,NA,6,0,6,5,0,0,0,0,0,0,0,6,0,6
"family","Rodentia","Zenkerellidae",2,1,1,1,0,0,1,1,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"family","Scandentia","Ptilocercidae",2,1,1,1,0,0,1,1,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"family","Scandentia","Tupaiidae",116,22,22,22,0,0,3,3,0,NA,NA,NA,4,0,4,15,0,1,1,0,0,0,5,0,2,5
"family","Sirenia","Dugongidae",17,2,1,1,1,0,2,1,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"family","Sirenia","Trichechidae",24,3,3,3,0,0,1,1,0,NA,NA,NA,0,0,0,0,0,3,0,0,0,0,0,0,3,0
"family","Tubulidentata","Orycteropodidae",20,1,1,1,0,0,1,1,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"family","Artiodactyla","incertae_sedis",17,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"family","Carnivora","incertae_sedis",13,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"family","Chiroptera","incertae_sedis",8,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"family","Cingulata","incertae_sedis",1,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"family","Diprotodontia","incertae_sedis",2,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"family","Primates","incertae_sedis",7,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"family","Rodentia","incertae_sedis",15,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"family","incertae_sedis","incertae_sedis",9,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"order","Afrosoricida",NA,139,55,55,55,0,0,20,20,0,3,3,0,4,3,1,32,2,9,7,1,0,0,4,0,17,4
"order","Artiodactyla",NA,3617,371,365,354,6,11,138,138,0,23,23,0,51,9,42,140,39,56,50,15,1,5,24,41,122,65
"order","Carnivora",NA,3805,319,312,309,7,3,129,128,1,16,16,0,36,3,33,175,30,45,26,4,0,6,4,29,75,33
"order","Chiroptera",NA,3505,1485,1476,1476,9,0,236,236,0,21,21,0,410,234,176,767,93,109,83,25,0,9,215,184,217,399
"order","Cingulata",NA,122,25,25,25,0,0,9,9,0,2,2,0,6,1,5,8,4,2,0,0,0,0,5,6,2,11
"order","Dasyuromorphia",NA,182,89,84,84,5,0,19,18,1,3,2,1,22,10,12,46,11,5,5,0,0,1,3,18,10,21
"order","Dermoptera",NA,25,2,2,2,0,0,2,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"order","Didelphimorphia",NA,353,126,126,126,0,0,18,18,0,1,1,0,50,24,26,63,3,6,0,2,0,0,13,39,8,52
"order","Diprotodontia",NA,508,159,151,151,8,0,40,39,1,11,11,0,18,1,17,64,23,23,13,15,0,8,0,13,51,13
"order","Eulipotyphla",NA,1640,599,589,589,10,0,61,60,1,5,4,1,166,112,54,286,12,25,39,12,0,7,105,113,76,218
"order","Hyracoidea",NA,141,6,6,6,0,0,3,3,0,1,1,0,2,1,1,4,1,0,0,0,0,0,0,1,0,1
"order","Lagomorpha",NA,685,112,111,111,1,0,12,11,1,3,2,1,29,5,24,62,2,6,13,1,0,1,6,21,20,27
"order","Macroscelidea",NA,110,20,20,20,0,0,6,6,0,1,1,0,5,3,2,13,0,1,1,0,0,0,4,1,2,5
"order","Microbiotheria",NA,4,2,2,2,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1
"order","Monotremata",NA,45,5,5,5,0,0,3,3,0,2,2,0,0,0,0,1,1,1,0,2,0,0,0,0,3,0
"order","Notoryctemorphia",NA,2,2,2,2,0,0,1,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"order","Paucituberculata",NA,13,7,7,7,0,0,3,3,0,1,1,0,1,1,0,2,2,3,0,0,0,0,0,0,3,0
"order","Peramelemorphia",NA,72,31,23,23,8,0,8,7,1,3,2,1,10,3,7,9,0,6,3,0,0,3,1,9,9,10
"order","Perissodactyla",NA,400,18,18,16,0,2,6,6,0,3,3,0,1,0,1,1,3,3,5,4,0,0,0,2,12,2
"order","Pholidota",NA,40,8,8,8,0,0,3,3,0,1,1,0,0,0,0,0,0,2,3,3,0,0,0,0,8,0
"order","Pilosa",NA,101,17,17,17,0,0,5,5,0,4,4,0,7,3,4,7,0,2,0,1,0,0,0,7,3,7
"order","Primates",NA,1892,522,518,518,4,0,84,80,4,19,16,3,161,82,79,114,41,109,140,86,0,2,13,17,335,30
"order","Proboscidea",NA,49,3,3,3,0,0,2,2,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0
"order","Rodentia",NA,10647,2747,2693,2692,54,1,536,522,14,35,35,0,595,309,286,1466,102,122,135,56,0,37,371,458,313,829
"order","Scandentia",NA,118,23,23,23,0,0,4,4,0,2,2,0,4,0,4,16,0,1,1,0,0,0,5,0,2,5
"order","Sirenia",NA,41,5,4,4,1,0,3,2,1,2,2,0,0,0,0,0,0,4,0,0,0,1,0,0,4,0
"order","Tubulidentata",NA,20,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"global","Global",NA,28285,6759,6646,6629,113,17,1353,1328,25,167,160,7,1579,805,774,3281,370,540,526,228,1,80,773,960,1295,1733
